{N ,}	U+0145	Ņ	LATIN CAPITAL LETTER N WITH CEDILLA
{N/}	U+0143	Ń	LATIN CAPITAL LETTER N WITH ACUTE
{NI}	U+039D	Ν	GREEK CAPITAL LETTER NU
{Nj}	U+014A	Ŋ	LATIN CAPITAL LETTER ENG
{Nv}	U+0147	Ň	LATIN CAPITAL LETTER N WITH CARON
{O  /}	U+00D8	Ø	LATIN CAPITAL LETTER O WITH STROKE
{O .}	U+1ECC	Ọ	LATIN CAPITAL LETTER O WITH DOT BELOW
{O /}	U+00D8	Ø	LATIN CAPITAL LETTER O WITH STROKE
{O,}	U+01A0	Ơ	LATIN CAPITAL LETTER O WITH HORN
{O/ /}	U+01FE	Ǿ	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
{OMIKRON}	U+039F	Ο	GREEK CAPITAL LETTER OMICRON
{O^.}	U+1ED8	Ộ	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
{O^}	U+00D4	Ô	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
{Ou}	U+014E	Ŏ	LATIN CAPITAL LETTER O WITH BREVE
{Ov}	U+01D1	Ǒ	LATIN CAPITAL LETTER O WITH CARON
{O~}	U+00D5	Õ	LATIN CAPITAL LETTER O WITH TILDE
{PI}	U+03A0	Π	GREEK CAPITAL LETTER PI
{R ,}	U+0156	Ŗ	LATIN CAPITAL LETTER R WITH CEDILLA
